"RFXC088.Code.or.Value","RFXC088.Value.Description","RFXC088.Count","RFXC088.Cumulative","RFXC088.Skip.to.Item"
"-7.828 to 4.57","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
