"DSQTPFAT.Code.or.Value","DSQTPFAT.Value.Description","DSQTPFAT.Count","DSQTPFAT.Cumulative","DSQTPFAT.Skip.to.Item"
"0.01 to 12","Range of Values",219,219,NA
".","Missing",9035,9254,NA
