"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"58.6 to 333","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
