"PFQ057.Code.or.Value","PFQ057.Value.Description","PFQ057.Count","PFQ057.Cumulative","PFQ057.Skip.to.Item"
"1","Yes",513,513,NA
"2","No",5044,5557,NA
"7","Refused",1,5558,NA
"9","Don't know",1,5559,NA
".","Missing",2791,8350,NA
