"PSQ220.Code.or.Value","PSQ220.Value.Description","PSQ220.Count","PSQ220.Cumulative","PSQ220.Skip.to.Item"
"1","True",42,42,NA
"2","False",4,46,NA
"7","Refused",0,46,NA
"9","Don't know",22,68,NA
".","Missing",53,121,NA
