"LBXVC6.Code.or.Value","LBXVC6.Value.Description","LBXVC6.Count","LBXVC6.Cumulative","LBXVC6.Skip.to.Item"
"0.014 to 12.7","Range of Values",2965,2965,NA
".","Missing",429,3394,NA
