"OPDSFAN.Code.or.Value","OPDSFAN.Value.Description","OPDSFAN.Count","OPDSFAN.Cumulative","OPDSFAN.Skip.to.Item"
"0","No",3065,3065,NA
"1","Questionable",93,3158,NA
"2","Yes",11,3169,NA
".","Missing",694,3863,NA
