"RFXC047.Code.or.Value","RFXC047.Value.Description","RFXC047.Count","RFXC047.Cumulative","RFXC047.Skip.to.Item"
"-7.525 to 3.957","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
