"AADMOVE.Code.or.Value","AADMOVE.Value.Description","AADMOVE.Count","AADMOVE.Cumulative","AADMOVE.Skip.to.Item"
"1","Yes",114,114,NA
"2","No",6849,6963,NA
".","Missing",2477,9440,NA
