"LBXTO5.Code.or.Value","LBXTO5.Value.Description","LBXTO5.Count","LBXTO5.Cumulative","LBXTO5.Skip.to.Item"
"0.017 to 0.71","Range of Values",49,49,NA
".","Missing",5614,5663,NA
