"CIQG37.Code.or.Value","CIQG37.Value.Description","CIQG37.Count","CIQG37.Cumulative","CIQG37.Skip.to.Item"
"1","Yes",3,3,"CIDGSCOR"
"2","No",0,3,"CIDGSCOR"
"7","Refused",0,3,"CIDGSCOR"
"9","Don't know",0,3,"CIDGSCOR"
".","Missing",775,778,""
