"AUQ090.Code.or.Value","AUQ090.Value.Description","AUQ090.Count","AUQ090.Cumulative","AUQ090.Skip.to.Item"
"1","Yes",35,35,NA
"2","No",18,53,NA
"7","Refused",0,53,NA
"9","Don't know",2,55,NA
".","Missing",8842,8897,NA
