"CIQD048.Code.or.Value","CIQD048.Value.Description","CIQD048.Count","CIQD048.Cumulative","CIQD048.Skip.to.Item"
"1","Yes",13,13,""
"2","No",98,111,"CIQD050Z"
"7","Refuse",0,111,""
"9","Don't know",0,111,""
".","Missing",817,928,""
