"AUXRR284.Code.or.Value","AUXRR284.Value.Description","AUXRR284.Count","AUXRR284.Cumulative","AUXRR284.Skip.to.Item"
"-28 to 61","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
