"VTQ231A.Code.or.Value","VTQ231A.Value.Description","VTQ231A.Count","VTQ231A.Cumulative","VTQ231A.Skip.to.Item"
"1","Yes",633,633,NA
"2","No",2079,2712,NA
"7","Refused",0,2712,NA
"9","Don't know",20,2732,NA
".","Missing",715,3447,NA
