"URXMB2.Code.or.Value","URXMB2.Value.Description","URXMB2.Count","URXMB2.Cumulative","URXMB2.Skip.to.Item"
"0.495 to 17.4","Range of Values",2627,2627,NA
".","Missing",128,2755,NA
