"MCQ160m.Code.or.Value","MCQ160m.Value.Description","MCQ160m.Count","MCQ160m.Cumulative","MCQ160m.Skip.to.Item"
"1","Yes",622,622,""
"2","No",5086,5708,"MCQ160k"
"7","Refused",0,5708,"MCQ160k"
"9","Don't know",11,5719,"MCQ160k"
".","Missing",3856,9575,""
