"URXPHE.Code.or.Value","URXPHE.Value.Description","URXPHE.Count","URXPHE.Cumulative","URXPHE.Skip.to.Item"
"0.495 to 138","Range of Values",2441,2441,NA
".","Missing",164,2605,NA
