"DXXPT65Y.Code.or.Value","DXXPT65Y.Value.Description","DXXPT65Y.Count","DXXPT65Y.Cumulative","DXXPT65Y.Skip.to.Item"
"39.2 to 225.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
