"DXXPT2Y.Code.or.Value","DXXPT2Y.Value.Description","DXXPT2Y.Count","DXXPT2Y.Cumulative","DXXPT2Y.Skip.to.Item"
"155.2 to 390.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
