"DR1TM181.Code.or.Value","DR1TM181.Value.Description","DR1TM181.Count","DR1TM181.Cumulative","DR1TM181.Skip.to.Item"
"0 to 163.226","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
