"ETHNICTY.Code.or.Value","ETHNICTY.Value.Description","ETHNICTY.Count","ETHNICTY.Cumulative","ETHNICTY.Skip.to.Item"
"1","Non-Hispanic White",118,118,NA
"2","Non-Hispanic Black",54,172,NA
"3","Mexican American",50,222,NA
"4","Other",42,264,NA
".","Missing",0,264,NA
