"VTQ280E.Code.or.Value","VTQ280E.Value.Description","VTQ280E.Count","VTQ280E.Cumulative","VTQ280E.Skip.to.Item"
"1","Yes",62,62,NA
"2","No",2525,2587,NA
"7","Refused",0,2587,NA
"9","Don't know",2,2589,NA
".","Missing",705,3294,NA
