"DS2TVB2.Code.or.Value","DS2TVB2.Value.Description","DS2TVB2.Count","DS2TVB2.Cumulative","DS2TVB2.Skip.to.Item"
"0.003 to 405","Range of Values",1064,1064,NA
".","Missing",8480,9544,NA
