"VIXKLM1.Code.or.Value","VIXKLM1.Value.Description","VIXKLM1.Count","VIXKLM1.Cumulative","VIXKLM1.Skip.to.Item"
"6.36 to 9.72","Range of Values",6460,6460,NA
"88","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
