"DXXSPX.Code.or.Value","DXXSPX.Value.Description","DXXSPX.Count","DXXSPX.Cumulative","DXXSPX.Skip.to.Item"
"0 to 3","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
