"URXCRS.Code.or.Value","URXCRS.Value.Description","URXCRS.Count","URXCRS.Cumulative","URXCRS.Skip.to.Item"
"265 to 64002","Range of Values",7878,7878,NA
".","Missing",254,8132,NA
