"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3561,3561,NA
"14","14 years or younger",13,3574,NA
"45","45 years or older",2,3576,NA
"7777","Refused",0,3576,NA
"9999","Don't know",26,3602,NA
".","Missing",1,3603,NA
