"WTSPH24.Code.or.Value","WTSPH24.Value.Description","WTSPH24.Count","WTSPH24.Cumulative","WTSPH24.Skip.to.Item"
"0 to 784675.43003","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
