"DXXPT36X.Code.or.Value","DXXPT36X.Value.Description","DXXPT36X.Count","DXXPT36X.Cumulative","DXXPT36X.Skip.to.Item"
"646.9 to 1227.4","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
