"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",5121,5121,""
"2","No",3216,8337,"End of Section"
"7","Refused",16,8353,"End of Section"
"9","Don't know",58,8411,"End of Section"
".","Missing",1402,9813,""
