"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",56,56,NA
"2","King (79-88 mm)",542,598,NA
"3","Long (94-101 mm)",415,1013,NA
"4","Ultra long (110-121 mm)",11,1024,NA
".","Missing",5766,6790,NA
