"DRD370SQ.Code.or.Value","DRD370SQ.Value.Description","DRD370SQ.Count","DRD370SQ.Cumulative","DRD370SQ.Skip.to.Item"
"1 to 10","Range of Values",156,156,NA
".","Missing",10097,10253,NA
