"WBXP064.Code.or.Value","WBXP064.Value.Description","WBXP064.Count","WBXP064.Cumulative","WBXP064.Skip.to.Item"
"-89.0992 to 154.4696","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
