"SMQ851.Code.or.Value","SMQ851.Value.Description","SMQ851.Count","SMQ851.Cumulative","SMQ851.Skip.to.Item"
"1","Yes",94,94,""
"2","No",5858,5952,"SMQ863"
"7","Refused",0,5952,"SMQ863"
"9","Don't know",0,5952,"SMQ863"
".","Missing",449,6401,""
