"DS2TIODI.Code.or.Value","DS2TIODI.Value.Description","DS2TIODI.Count","DS2TIODI.Cumulative","DS2TIODI.Skip.to.Item"
"3.75 to 37500","Range of Values",1096,1096,NA
".","Missing",8448,9544,NA
