"PAQ640.Code.or.Value","PAQ640.Value.Description","PAQ640.Count","PAQ640.Cumulative","PAQ640.Skip.to.Item"
"1 to 7","Range of Values",2247,2247,""
"77","Refused",0,2247,"PAQ650"
"99","Don't know",0,2247,"PAQ650"
".","Missing",7524,9771,""
