"RFXT084.Code.or.Value","RFXT084.Value.Description","RFXT084.Count","RFXT084.Cumulative","RFXT084.Skip.to.Item"
"725 to 734","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
