"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"0 to 322113.58855","Range of Values",3489,3489,NA
".","Missing",0,3489,NA
