"DXXPT36Y.Code.or.Value","DXXPT36Y.Value.Description","DXXPT36Y.Count","DXXPT36Y.Cumulative","DXXPT36Y.Skip.to.Item"
"73.2 to 312.9","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
