"PADMETS.Code.or.Value","PADMETS.Value.Description","PADMETS.Count","PADMETS.Cumulative","PADMETS.Skip.to.Item"
"2.5 to 10","Range of Values",9266,9266,NA
".","Missing",0,9266,NA
