"WHD080M.Code.or.Value","WHD080M.Value.Description","WHD080M.Count","WHD080M.Cumulative","WHD080M.Skip.to.Item"
"34","Drank a lot of water",1033,1033,NA
".","Missing",5431,6464,NA
