"AUXRR115.Code.or.Value","AUXRR115.Value.Description","AUXRR115.Count","AUXRR115.Cumulative","AUXRR115.Skip.to.Item"
"-77 to 118","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
