"MCQ151.Code.or.Value","MCQ151.Value.Description","MCQ151.Count","MCQ151.Cumulative","MCQ151.Skip.to.Item"
"9 to 11","Range of Values",50,50,""
"77","Refused",0,50,"MCQ203"
"99","Don't know",0,50,"MCQ203"
".","Missing",9525,9575,""
