"FSD041.Code.or.Value","FSD041.Value.Description","FSD041.Count","FSD041.Cumulative","FSD041.Skip.to.Item"
"1","Yes",866,866,""
"2","No",2270,3136,"FSD061"
"7","Refused",1,3137,"FSD061"
"9","Don't know",0,3137,"FSD061"
".","Missing",7012,10149,""
