"URDGP1LC.Code.or.Value","URDGP1LC.Value.Description","URDGP1LC.Count","URDGP1LC.Cumulative","URDGP1LC.Skip.to.Item"
"0","At or above the detection limit",55,55,NA
"1","Below lower detection limit",2517,2572,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2572,NA
".","Missing",183,2755,NA
