"MCQ365d.Code.or.Value","MCQ365d.Value.Description","MCQ365d.Count","MCQ365d.Cumulative","MCQ365d.Skip.to.Item"
"1","Yes",1650,1650,NA
"2","No",4521,6171,NA
"7","Refused",1,6172,NA
"9","Don't know",2,6174,NA
".","Missing",3190,9364,NA
