"DR2IZINC.Code.or.Value","DR2IZINC.Value.Description","DR2IZINC.Count","DR2IZINC.Cumulative","DR2IZINC.Skip.to.Item"
"0 to 335.23","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
