"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",523,523,""
"2","No",7368,7891,"RDQ070"
"7","Refused",2,7893,"RDQ070"
"9","Don't know",3,7896,"RDQ070"
".","Missing",2574,10470,""
