"AUXRR158.Code.or.Value","AUXRR158.Value.Description","AUXRR158.Count","AUXRR158.Cumulative","AUXRR158.Skip.to.Item"
"-8 to 77","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
