"LBXST1.Code.or.Value","LBXST1.Value.Description","LBXST1.Count","LBXST1.Cumulative","LBXST1.Skip.to.Item"
"220 to 3300","Range of Values",4420,4420,NA
".","Missing",1223,5643,NA
