"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",2747,2747,NA
"1","Below lower detection limit",0,2747,NA
".","Missing",72,2819,NA
