"URX4BP.Code.or.Value","URX4BP.Value.Description","URX4BP.Count","URX4BP.Cumulative","URX4BP.Skip.to.Item"
"1.24 to 1310","Range of Values",2492,2492,NA
".","Missing",263,2755,NA
