"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.405 to 0.317","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
