"FSD032F.Code.or.Value","FSD032F.Value.Description","FSD032F.Count","FSD032F.Cumulative","FSD032F.Skip.to.Item"
"1","Often true",61,61,NA
"2","Sometimes true",324,385,NA
"3","Never true",5816,6201,NA
"7","Refused",7,6208,NA
"9","Don't know",3,6211,NA
".","Missing",3545,9756,NA
