"DXXSMX.Code.or.Value","DXXSMX.Value.Description","DXXSMX.Count","DXXSMX.Cumulative","DXXSMX.Skip.to.Item"
"0 to 1","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
