"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.7 to 1","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
