"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"5.9 to 93.6","Range of Values",8787,8787,NA
".","Missing",1048,9835,NA
