"HUQ030.Code.or.Value","HUQ030.Value.Description","HUQ030.Count","HUQ030.Cumulative","HUQ030.Skip.to.Item"
"1","Yes",8999,8999,""
"2","There is no place",1069,10068,"HUQ050"
"3","There is more than one place",52,10120,""
"7","Refused",0,10120,"HUQ050"
"9","Don't know",2,10122,"HUQ050"
".","Missing",0,10122,""
