"DRD370DQ.Code.or.Value","DRD370DQ.Value.Description","DRD370DQ.Count","DRD370DQ.Cumulative","DRD370DQ.Skip.to.Item"
"1 to 15","Range of Values",933,933,NA
".","Missing",8829,9762,NA
