"PFQ061I.Code.or.Value","PFQ061I.Value.Description","PFQ061I.Count","PFQ061I.Cumulative","PFQ061I.Skip.to.Item"
"1","No difficulty",1794,1794,NA
"2","Some difficulty",629,2423,NA
"3","Much difficulty",152,2575,NA
"4","Unable to do",64,2639,NA
"5","Do not do this activity",11,2650,NA
"7","Refused",0,2650,NA
"9","Don't know",1,2651,NA
".","Missing",6340,8991,NA
