"DR1IMFAT.Code.or.Value","DR1IMFAT.Value.Description","DR1IMFAT.Count","DR1IMFAT.Cumulative","DR1IMFAT.Skip.to.Item"
"0 to 100.26","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
