"AUQ185.Code.or.Value","AUQ185.Value.Description","AUQ185.Count","AUQ185.Cumulative","AUQ185.Skip.to.Item"
"1","Yes",90,90,NA
"2","No",3076,3166,NA
"7","Refused",0,3166,NA
"9","Don't know",3,3169,NA
".","Missing",6653,9822,NA
