"DID260.Code.or.Value","DID260.Value.Description","DID260.Count","DID260.Cumulative","DID260.Skip.to.Item"
"1 to 210","Range of Values",591,591,NA
"0","Never",138,729,NA
"777","Refused",0,729,NA
"999","Don't know",6,735,NA
".","Missing",9035,9770,NA
